Managed Security Services Providers (MSSPs),Marketing Organization & Culture,
PaaS,Sales,
Randy Heffner,Healthcare,
RPA,Insurance,
Hadoop,Mobile Marketing,
Kevin Lucas,Systems Of Engagement,
Servicenow,Strategy Planning & Governance,
Robotic Process Automation,Identity & Access Management (IAM),
Supply Chain,Telecommunications Services,
Ted Schadler,Mobile Software & Platforms,
Wealth Management,Retail Technologies,
Web Content Management (WCM),Customer Centricity,
Business Architecture,Enterprise Content Management (ECM),
Data Management,Mobile Banking,
IT Service Management (ITSM),Benchmarks,
Infosys,Google,
Brendan Witcher,Predictions,
Business Continuity & Disaster Recovery,Commerce Solutions,
Bots,Consumer Mobile Activities,
CX,Germany,
Outsourcing,Office Productivity,
Office 365,Advertising,
MDM,Case Study,
Microsoft,Manufacturing,
Andy Hoar,France,
Ian Jacobs,Development & Operations (DevOps),
Payments,Workbook-Pres-New,
Sourcing & Vendor Management,Consumer Technographics - Global plus Russia,
Business Transformation & Organizational Change Management,Consumer Technographics Global,
Deloitte,Consumer Technographics Global - Reader,
Web Analytics,Australia,
Security & Risk,Spain,
Endpoint Security,Amazon,
Tech Radar,Budgeting,
Sales Enablement,Consumer Electronics,
Data Quality & Data Governance,Internet of Things (IoT),
Omnichannel Retail,Vulnerability & Threat Management,
Email,Italy,
Digital Experience,Marketing Service Providers,
Customer Engagement,Systems Integration,
Mary Shea,Employee Engagement,
Tata Consultancy Services (TCS),India,
Enterprise Mobility,Smartphones & Mobile Phones,
Hybrid Cloud,CT Global Benchmark,
CIO,IT Consulting,
Brandon Purcell,Tablets,
Robotics,CT Global - Agency,
Wipro,Customer Service Solutions,
Voice Of The Customer (VOC),Workforce Enablement,
Intellect,Consumer Technographics North America,
Contract Life-Cycle Management (CLM),Mobile Security,
Enterprise Collaboration,Salesforce,
IAM,ForecastView - Americas,
Microservices,Omnichannel Retail,
Cheryl McKinnon,Mergers & Acquisitions (M&As),
ECM,Netherlands,
Application Performance Monitoring,Sweden,
Workforce Management,ForecastView ? Americas Forecasts,
Tableau,Business Value,
Dave Bartoletti,Staff Development & Succession Management,
Sitecore,Business Models,
Business Process Outsourcing (BPO),ForecastView ? Global Digital Marketing Forecasts,
Pharmaceuticals & Biotechnology,ForecastView ? Global e-Commerce Forecasts,
Zero Trust,Application Life-Cycle Management (ALM),
Playbook,CT North America Benchmark,
Design Thinking,Loyalty,
CX Index,Strategy & Strategic Planning,
IPaaS,Systems Management,
Age Of The Customer,Agile,
CMO,CT North America - Agency,
Millennials,Retail Payments,
Public Cloud,B2B eCommerce,
User Experience,Consumer Mobile Adoption,
Software-As-A-Service (SaaS),Digital Banking,
Trends,Customer Data,
James McCormick,Question & Answer,
Mike Gualtieri,Regulations & Legislation,
Sharepoint,Travel,
IT Asset Management (ITAM),ForecastView - Europe,
Aws,ForecastView - European Forecasts,
Cognizant Technology Solutions,IT Process Automation,
Rusty Warner,Mobile Advertising,
Digital Strategy,Search Marketing,
Social,Content Marketing,
IaaS,Mobile Services,
Workday,Platform-as-a-Service (PaaS),
Gamification,Product & Solutions Strategies,
Software Asset Management,Wearables,
Mobile Application Development,Apple,
Joseph Blankenship,Consumer Segmentation,
NoSQL,ForecastView ? Global Mobile Forecasts,
Capgemini,Media Buying,
Self-Service,Storage,
Martin Gill,Cloud Security,
Noel Yuhanna,Customer Experience Index (CX Index),
Testing & Quality Assurance,Online Marketing Technology,
Automation,Market Research,
Tech Mahindra,Mobile Device Management,
Data Science,Recruitment,
Data Governance,Dell,
Case Management,Infrastructure-As-A-Service (IaaS),
Unified Communications,Investments,
Call & Contact Center Outsourcing,Private Cloud,
IT Services,SOA & Web Services,
Kate McCarthy,Technology Pricing & Licensing,
John Bruno,Data Centers & Data Center Networking,
Online Retail Forecast,Television,
Data Virtualization,Marketing Executive Leadership,
SMB,Server Platforms,
Customer Service Solutions,Cisco Systems,
Rowan Curran,Canada,
CMS,Contactless & Mobile Payments,
Privacy,Facebook,
Order Management,Integrated Marketing (Cross-Channel),
Business Technology (BT),Wipro,
Customer Journey Mapping,Application Outsourcing,
Cyber Security,Consumer Technographics Asia Pacific,
Contact Center,Consumer Technographics Europe,
Docker,Development Platforms,
Richard Joyce,Latin America,
Human Resources Management Applications,Online Display Advertising,
Platform-As-A-Service (PaaS),Online Video,
Chatbots,Public Cloud,
Talent Management,Digital Agencies,
Ellen Carney,Predictive Analytics,
Michael Facemire,Adobe Systems,
Clay Richardson,Capability Road Map,
Okta,Consumer Technographics Latin America,
Grc,Data Quality & Data Governance,
Private Cloud,Network Security,
Energy & Utilities,Social Intelligence,
Brexit,Tata Consultancy Services (TCS),
Data Integration,Accenture,
Mulesoft,Consumer Technographics Canada,
Small Business,Consumer Technographics Russia,
Customer Data,Hybrid Cloud,
Jim Nail,Mobile Application Platforms,
Education,Tech Market Outlook,
Boris Evelson,APIs & API Management,
Infrastructure & Operations,Belgium,
Vulnerability & Threat Management,Channel Partners,
Customer Satisfaction Surveys,Enterprise Portals,
Intranet,Information Architecture,
Sarah Sikowitz,Infosys,
Joe Stanhope,Application Infrastructure Technologies,
Andras Cser,Austria,
John Kindervag,Banking Platforms,
Customer Experience Index,Denmark,
CASB,Digital Store,
Enterprise Resource Planning Applications (ERP),Ireland,
Crm Wave,Norway,
Robert Stroud,Portugal,
Social Listening,Switzerland,
Open Source,Transportation & Logistics,
Application Security,CRM Applications,
Diego Lo Giudice,Finland,
Data Analytics,Globalization & Localization,
Paul D. Hamerman,Planning & Fulfillment,
Shared Services,Competency & Skills Management,
Jost Hoppermann,IT Service Management (ITSM),
Smartphones & Mobile Phones,Japan,
Consumer Packaged Goods (CPG),Open Source,
Help Desk/Service Desk,Airlines,
Biometrics,Social Listening & Listening Platforms,
Low Code,South Korea,
Video,Authentication,
Journey Mapping,Collaboration Platforms,
Andrew Bartels,Health Plans & Health Providers,
Amy Demartine,Open Text,
APM,Retail Credit,
Connected Car,VMware,
Lead-To-Revenue Management (L2rm),Contextual Marketing,
Duncan Jones,Contract Negotiations,
Containers,Deloitte,
Cognitive,Enterprise Marketing Platforms,
Loyalty Programs,Fraud Management,
Melissa Parrish,Mobile Analytics,
HCL Technologies,Mobile Search ,
Adam Silverman,Risk Management,
Contact Center Technologies & Processes,Shipping,
SIEM,Application Architecture,
Mark Grannan,Business Architecture,
Content Management,Capgemini,
Jeffrey S. Hammond,Energy & Utilities,
HCM,ForecastView ? Americas Digital Marketing Forecasts,
Cloud Adoption,Marketing Metrics,
Application Portfolio Management,New Zealand,
Data,Web Development,
Telecom,Application Development Methodologies,
Real Estate,Brazil,
Software-Defined Networking (SDN),Cognizant Technology Solutions,
Document Management,Desktop Operating Systems,
Jeff Pollard,Personal Financial Management (PFM),
Vendor Management,Vendor Management,
Transportation & Logistics,Bring Your Own Device (BYOD),
Tim Harmon,Email Marketing,
Dell,Mobile Operating Systems,
Chris Sherman,Package Implementation Services,
Product Information Management (PIM),Sales Force Automation (SFA),
Procurement,Testing & Quality Assurance,
Data Loss Prevention (DLP),Video Advertising,
Mergers & Acquisitions (M&As),Analyst Relations Planning & Process,
Application Release Automation,CSC,
Smart Cities,EMC,
Hybris,Learning,
John R. Rymer,Multichannel Architecture,
Lori Wizdo,Wealth Management,
Facebook,Web Content Management (WCM),
Digital Customer Experience,Consumer Healthcare,
Data Visualization,Endpoint Security,
Call Center,ForecastView ? European e-Commerce Forecasts,
Google,HCL Technologies,
Data Warehousing,Healthcare Technologies,
eDiscovery,Return On Investment (ROI),
Infrastructure-As-A-Service (Iaas),Application Security,
James L. McQuivey,Attribution,
Data Quality,Brand Building,
Testing,Consumer Packaged Goods (CPG),
Henry Peyret,ForecastView ? Americas Mobile Forecasts,
Tony Costa,Hosting & Managed Services,
IT Process Automation,Indonesia,
Account Based Marketing,Managed Security Services Providers (MSSPs),
E-Commerce,Network Management,
Ryan Skinner,Singapore,
Splunk,Analyst Relations Best Practices,
CPQ,Argentina,
Point Of Sale (POS),ForecastView ? Americas e-Commerce Forecasts,
PMO,Geospatial Solutions,
SDN,Hotels,
Digital Workplace,Marketing ROI,
Airlines,Mexico,
VMware,Paid Search,
IT Spend,Software-Defined Networking (SDN),
Smart City,Database Management Systems (DBMSes),
Ai,Encryption,
ITSM,IT MOOSE,
Payment,Key Performance Indicators (KPIs),
Media & Entertainment,Middle East,
Advertising,Order Management,
Technology Trends,Tibco,
Frank E. Gillett,Total Economic Impact (TEI),
EPAM,Africa,
IT Outsourcing,Communications Infrastructure,
CPG,Data Loss Prevention (DLP),
Sucharita Mulpuru,ForecastView ? European Digital Marketing Forecasts,
Tina Moffett,Lead-To-Revenue-Management (L2RM),
Benchmarks,Malaysia,
China,Omnichannel Banking,
Manufacturing,Personalization,
Risk Management,Security Information & Event Management (SIEM),
Security Information & Event Management (SIEM),Voice Of The Customer (VOC),
Byod,Web Analytics,
Nigel Fenwick,Brand Monitoring,
Adobe,ForecastView - European eBusiness Forecasts,
Claire Schooley,ForecastView - European Interactive Marketing Forecasts,
Marketo,Operating Models,
Governance,Server Virtualization,
IT Strategy,Smart Home,
Gaming,Application Performance Monitoring,
Enterprise Portals & Search,Automotive,
Persona,CT Europe - Agency,
Digital Intelligence,CT Europe Benchmark,
Consumer Technographics,Data Security,
Data Center Outsourcing & Colocation,Enterprise Social,
Enterprise Application Integration (EAI),Hong Kong,
Michele Pelino,Human Resources Management Applications,
Sales,Infrastructure Outsourcing,
Milan Hanson,Philippines,
Mobile Security,Program & Project Management,
BPO,Search Engine Optimization (SEO),
Enterprise Architecture Domains & Practices,BMC,
Incident Response,Business Continuity & Disaster Recovery,
Hpe,Content Security,
The Top Emerging Technologies  To Watch: 2017 To 2021,Incident Response,
"Jennifer Belissent, Ph.D.",Informatica,
Storage,Marketing Organizational Structure,
Analytics Applications,Poland,
Data Center,Programmatic Buying,
George Lawrie,Retention Management,
Mobile Payments,Russia,
Consumer Mobile Activities,Sourcing & Procurement Applications,
Smart Home,Storage Hardware,
3d Printing,Symantec,
Netsuite,Television Advertising,
Tj Keitt,Text Analytics,
Harley Manning,Thailand,
NPS,Verizon Communications,
Oliwia Berdak,Advertising Agencies,
Advanced Analytics,AT&T,
Partner Relationship Management (PRM),Citrix Systems,
Ds,Cognitive Computing,
Chat Bot,Continuous Delivery,
Project Portfolio Management (Ppm),Digital Content,
Consulting,Fujitsu,
Canada,Innovation Management,
IT Spending,IT Governance,
India,Local Area Network (LAN) & Wide Area Network (WAN),
Enterprise Performance Management (EPM),Responsive Design,
Susan Bidel,Augmented Reality,
Rick Parrish,Converged Infrastructure,
Steven Wright,Data Integration,
Josh Zelonis,Desktops & Laptops,
Millenials,Digital & Mobile Wallets,
Metrics,ForecastView - Global Platform,
Government,Forrester's Big Idea,
Life Insurance,Healthcare Regulations,
Personas,Service Catalog,
Digital Maturity,Taiwan,
Branding,Turkey,
Joana Van Den Brink- Quintanilha,Artificial Intelligence,
Margo Visitacion,Atos,
Online Chat,Campaign Management,
DDoS,Case Management,
Maxie Schmidt-Subramanian,Co-Creation & Crowdsourcing,
Onboarding,Data Center Outsourcing & Colocation,
Omni Channel,Financial Management,
Sports,Internet Access Service Providers,
Demand-Side Platforms (DSPs),Machine Learning,
Chat,Online Chat,
Art Schoeller,Passwords,
Medallia,Store Inventory Management,
Openstack,Twitter,
Hosting & Managed Services,Vietnam,
SEO,Virtual Desktop Infrastructure (VDI),
Total Economic Impact (TEI),Web-Influenced Sales,
Change Management,BlackBerry,
Telematics,Branch Banking,
IT Portfolio Management,Buyer Engagement,
Content,Cost Control,
Business Technographics,Data Management Platforms (DMPs),
Strategy,Decision Making,
Billing,Education,
Marketing Analytics,Medical Devices,
Dam,Multisourcing & Multiprovider Strategy,
Psd2,Near Field Communication (NFC),
Marketing Measurement,Product Management,
Customer Segmentation,Project Portfolio Management (PPM),
Heidi Shey,Remote Work & Telecommuting,
Programmatic Buying,Romania,
Threat Intelligence,Unified Communications,
Data Lake,Video & Teleconferencing,
Mobile Device Management,Application Portfolio Management,
Emily Collins,Auto Insurance,
Managed Services,Beacons,
Mortgage,Center of Expertise,
Net Promoter Score (NPS),CT APAC - Agency,
PIM,CT APAC Benchmark,
Consumer Mobile Adoption,Data Archiving,
Zendesk,Data Services,
Ciam,Digital Asset Management (DAM),
Digital & Electronic Signatures,Distribution Channels - ISVs OEMs & VARs,
Marc Cecere,Egypt,
Cinny Little,Enterprise Resource Planning Applications (ERP),
Continuous Delivery,ForecastView ? European Mobile Forecasts,
Data Centers & Data Center Networking,Help Desk & Service Desk,
IT Governance,Intel,
Architecture & Technology Strategy,Israel,
William Martorelli,KPMG,
Customer Onboarding,Legal Issues,
Customer Loyalty,Nigeria,
Retail Payments,Office Suites,
Dan Bieler,Pegasystems,
Twilio,Performance & Talent Management,
Digital Advertising,Reference Architecture,
Australia,Saudi Arabia,
Industry 4.0,Sensors & Embedded Devices,
Acxiom,Social Depth,
Identity,South Africa,
Verizon,Storage Management,
Omnichannel Banking,Zero Trust,
Maturity Model,Application Virtualization,
B2c Ecommerce,Biometrics,
Shar Vanboskirk,Business Process Management Suites (BPMSes),
IoT Security,Credit & Debit Cards,
Palm,Customer Satisfaction Surveys,
Benchmark,eBay,
Asset Management,Fintech,
Richard Fichera,ForecastView - APAC,
Application Modernization,ForecastView ? APAC Forecasts,
Rackspace,Gaming,
IdaaS,Infor Global Solutions,
Genesys,IT Portfolio Management,
Hr,Machine-To-Machine (M2M),
Hyperconvergence,Online Payments,
Css Corp,Self-Service,
Bimodal,Technical Architecture,
Collaboration,United Arab Emirates,
Ott,Business Techno - All Americas,
Slack,Business Techno - All APAC,
Journey Map,Business Techno - All EU,
Mobility,Business Techno All Surveys,
Database Management Systems (DBMSes),"Business Techno BI, Analytics, & Big Data - Americas",
Metadata Management,"Business Techno BI, Analytics, & Big Data - APAC",
Data Security,"Business Techno BI, Analytics, & Big Data - EU",
Finance & Accounting Applications,"Business Techno BI, Analytics, & Big Data - Global",
IT Consulting,Business Techno Budgets - America,
IT Budget,Business Techno Budgets - APAC,
David K. Johnson,Business Techno Budgets - EU,
Capability Road Map,Business Techno Budgets - Global,
Domo,Business Techno Developer,
Emerging Technologies,Business Techno Hardware & Cloud - America,
Intralinks,Business Techno Hardware & Cloud - APAC,
State Of Retailing Online,Business Techno Hardware & Cloud - EU,
Bmc,Business Techno Hardware & Cloud - Global,
Win In The Age Of The Customer,"Business Techno Mobility, Networks, & Comms - America",
Abm,"Business Techno Mobility, Networks, & Comms - APAC",
Cloud Storage,"Business Techno Mobility, Networks, & Comms - EU",
Contactless & Mobile Payments,"Business Techno Mobility, Networks, & Comms - Global",
Uber,Business Techno Priorities & Journey - America,
Information Security,Business Techno Priorities & Journey - APAC,
Microsoft Azure,Business Techno Priorities & Journey - EU,
B2c Marketing,Business Techno Priorities & Journey - Global,
Information Governance,Business Techno Security - America,
DLP,Business Techno Security - APAC,
Nick Hayes,Business Techno Security - EU,
Marketing Mix Modeling,Business Techno Security - Global,
Enterprise Service Bus (ESB),Business Techno Services - America,
Application Life-Cycle Management (ALM),Business Techno Services - APAC,
CMDB,Business Techno Services - EU,
Key Performance Indicators (Kips),Business Techno Services - Global,
Product Management,Business Techno Software Development & Cloud - America,
Fatemeh Khatibloo,Business Techno Software Development & Cloud - APAC,
Real-Time Interaction Management,Business Techno Software Development & Cloud - EU,
E-Signature,Business Techno Software Development & Cloud - Global,
Wechat,Business Technographics Mobile,
Hana,Business Technographics Technology surveys - All industries,
Food,Business Technographics Technology surveys for Financial Services,
Email Wave,Business Technographics Technology surveys for Healthcare,
Glenn O'Donnell,Business Technographics Technology surveys for High Tech,
Virtual Agents,Business Technographics Workforce surveys,
Bi,Car Rental,
Digital Disruption,Cloud Storage,
Martha Bennett,Compensation,
Digital Insurance,Customer Communication,
John Rymer,Data Overview,
Health Insurance,Demand-Side Platforms (DSPs),
Data & Information Protection,Enterprise Application Integration (EAI),
Demandware,Enterprise Search Platforms,
Sprinklr,File Sync & Share,
Network Security,ForecastView - Americas Platform,
Customer Centricity,Kenya,
Paul Miller,Mobile Messaging,
Payroll,Personas & Scenarios,
Service Design,Records Management,
Ecosystem,Security Architecture,
Authentication,Social CRM,
Service Catalog,Social Technographics,
CISO,Strong Authentication,
Roe,"Ad Networks, Ad Servers, & Ad Exchanges",
Customer,Balanced Scorecard,
Digital Experience Platforms,Broadband & Remote Access,
Nick Barber,BT APAC - Agency,
At&T,BT Europe - Agency,
Fiona Swerdlow,BT Global - Agency,
Lily Varon,BT North America - Agency,
Virtual Desktop Infrastructure (Vdi),Community Management,
Product Life-Cycle Management (Plm),Cross-Border eCommerce,
UX,CT LATAM - Agency,
Case Study,CT LATAM Benchmark,
Connected Home,Data Virtualization,
Enterprise Search,Data Visualization,
Sap Hana,eDiscovery,
The Forrester Wave,Electronic Medical Records (EMRs),
Thomas Husson,Email Content Security,
Text Analytics,eProcurement & eSourcing,
Apple,LAN/WAN Infrastructure,
Financial Management,Master Data Management,
Media,P2P Payments,
Online Grocery,Virtual Agents,
Renee Murphy,Workload Management,
Technographics,Antivirus,
Opentext,Application Rationalization,
Requirements Management,Behavioral Targeting,
Grocery,Breakout Vendors,
Marketplace,Buyer Role Profiles,
Sam Stern,Customer Advocacy,
Dashboard,Digital Certificates & Public Key Infrastructures,
Oil And Gas,EA Management Suites,
Roadmap,eCommerce Adoption,
Pricing,Enterprise Content Management Suites,
Digital Asset Management,Financial Planning,
Magento,Hyperconvergence,
Jira,Knowledge Management,
Culture,Lean Software,
Planned Research,Merchandising,
Soasta,Mobile Architecture,
Campaign Management,Processor Architectures,
Merritt Maxim,Programming Languages,
Ppm,RFID,
Encryption,Rights Management,
Peter Wannemacher,Social Relationship,
Luxury,T-Systems International,
Pegasystems,Usability Testing,
Playbooks,Web Content Security,
Cisco,Workplace Services,
USAA,YouTube,
Transform The Customer Experience,Agent Performance Management,
Health,Apparel,
Pascal Matzke,Application Modernization,
Cloud Strategy,Application Release Automation,
Segmentation,Application Upgrades & Maintenance,
Cognizant,Avaya,
Sourcing & Procurement Applications,Backup,
Business Case,Box,
Digital Commerce,Customer Onboarding,
Self Service,Demand Planning,
Distribution Channels - Isvs/Oems/Vars,Digital & Electronic Signatures,
Ccm,Document Management,
Kpmg,Enterprise Performance Management (EPM),
Apptio,ForecastView ? APAC e-Commerce Forecasts,
Apigee,Go-To-Market Strategies,
Learning Management Systems (LMSEs),Infrastructure Change & Configuration Management,
Fraud,Learning Applications,
Fraud Management,Marketing Talent Management,
Dynamic Case Management,NetSuite,
Forecast,Offshore Services,
Enterprise Social,Point Of Sale (POS),
Watson,Publishing,
Stephanie Balaouras,Real-Time Interaction Management,
Integration,Shared Services,
Records Management,Speech Technologies,
Microsoft Dynamics,Storage Virtualization,
Cyber,Web Conferencing,
Brand,Wireless LAN/WAN Infrastructure,
Brazil,Workforce Management,
Digital & Mobile Wallets,App Stores,
Telco,Ariba,
Balanced Scorecard,Brand & Product Web Sites,
Messaging,Business Process Outsourcing (BPO),
Center Of Excellence,Contract Life-Cycle Management (CLM),
Marketing Technology,Industry Specifications & Standards,
Vdi,LinkedIn,
Business Rules,Marketing Resource Management (MRM),
Integrated Marketing (Cross- Channel),Metadata Management,
Brendan Miller,Mobile Professional Productivity,
Erna Alfred Liousas,Non-profit,
Alteryx,P2P Lending,
Chat Bots,Partner Relationship Management (PRM),
Emerging Technology,Product Information Management (PIM),
Search Engine Optimization (SEO),Product Life-Cycle Management (PLM),
Lauren E. Nelson,Project Management Office (PMO),
Millennial,Query & Reporting Tools,
Online Banking,Requirements Management,
Workplace Services,Site Optimization,
CXi,Telematics,
Application Management,Yahoo!,
Information Architecture,ATMs,
Mobile Payment,Business Service Management (BSM),
Content Strategy,Buy Versus Build,
Nfv,Checking & Savings Accounts,
Commerce,Cloud Brokers,
CX Maturity,Customer Life Cycle,
Digitization,Electronic Bill Presentation & Payment (EBPP),
Training,ForecastView - European Consumer Product Forecasts,
Nasry Angel,ForecastView ? APAC Digital Marketing Forecasts,
Hcl,Gamification,
Anaplan,IT Communications & Marketing Of IT,
Cloud Foundry,Learning Management Systems (LMSes),
Web Content Management,Luxury Retail,
Samuel Stern,Mobile Broadband,
P2p,Mobile Entertainment,
Smartphone,Paid Content,
Customer Support,PayPal,
Platform,Pharmaceuticals & Biotechnology,
Michelle Beeson,Price Optimization,
Bot,Product Portfolio Strategies,
Kurt Bittner,Research & Development (R&D),
Predictions,Security Performance Management,
Julie Ask,Single Sign-On,
Customer Advocacy,Social Commerce,
Jennifer Wise,Software Change & Configuration Management (SCCM),
IT Organization,Storage Networking,
Ibm Watson,Topic-Role Overview,
Alyson Clarke,User Account Provisioning,
Mainframe,Vendor Management Systems,
Project Management,Web Design Standards,
Mobile Commerce (Mcommerce),Workflow,
Ivar,Acxiom,
Andrew Hogan,Adaptive Brand Marketing,
Systems Of Insight,Agile Commerce,
Workflow,Connected TV,
Cloud Migration,Convergence Services,
Landscape: Playbook,Corporate Social Responsibility,
Maturity,CT Global - Retail & Travel,
Data Warehouse,"CT USA - HealthCare, Gov",
Jeffrey Hammond,CT USA - Retail & Travel,
Container,Data Center Automation,
Informatica,Data Center Consolidation,
Text Mining & Analytics,Data Charts,
Electronic Invoice Presentation & Payment (Eipp),Data Modeling,
P2p Payments,Digital Transformation,
Credit & Debit Cards,Email Platforms,
Big Data Fabric,eStatements,
Oracle Wave,Hybrid Application Development,
Webinar,Integration Servers,
Megan Burns,Interaction & UI Architecture,
Security Analytics,ITIL,
Consumer Segmentation,Juniper Networks,
Innovation Management,Message Archiving,
Learning,Middleware,
Netflix,Mobile Video,
Symantec,Mortgage & Unsecured Lending,
TCS,Network Access Control (NAC),
Deanna Laufer,Online Grocery,
Chief Digital Officer,Physical Security,
Solution Architecture,RFPs,
Programmatic,Service-Level Agreements (SLAs),
Block Chain,Solution Architecture,
Social Marketing,Tag Management,
Loyalty Program,Thought Leadership,
Competitive Intelligence,User-Generated Content,
Data Classification,Word of Mouth Marketing & Viral Marketing,
Esb,Workbook-Pres-Repurposed,
Ipsoft,Xerox,
Customer Communication,Addressable TV,
Operating Models,Aerospace & Defense,
Strategy & Strategic Planning,API & SOA Security,
Marketing Cloud,B2B Integration,
Robo Advisor,Business Process Modeling,
Lms,CMDB,
Pharma,Content Delivery Networks (CDNs),
Digital Analytics,CT France - Retail & Travel,
Gene Leganza,Customer Journey Mapping,
Drone,Desktop Support,
Frederic Giron,Digital Intelligence,
Workplace,EDI,
B2c,Electronic Invoice Presentation & Payment (EIPP),
Vendor Management Systems,Email Customer Service,
Insider Threat,eMarkets,
Futurology,Firewalls,
Deep Learning,HTML5,
Gis,In-Store Marketing,
Car,Interactive Voice Response (IVR),
Suba,IT Management Software,
Network Access Control (Nac),Leisure Travel,
Martech,Marketing Attitudes,
"Plan Now For Customer Service
In 2021",Net Promoter Score (NPS),
Predictions 2016,Online Travel Booking,
Hexaware,Open Data,
Mobile App,Project Management Tools & Processes,
Analyst Relations,Smart Process Applications (SPAs),
Managed Security Services,Software Asset Management,
Bring Your Own Device (Byod),Staff Augmentation,
Digital Trends,Supply Chain Management,
Project Management Office (PMO),Sustainability,
Reference Architecture,TechChoices,
Tools And Technology: Playbook,Trade Promotion Management,
Rfid,Videoconferencing Services,
Portal,Voice Services,
Bill Martorelli,VPN - Internet /IPSec/SSL,
Disaster Recovery,Web Browsers,
Atm,Advanced Analytics,
Forrester,Business Process Methodologies,
Restaurant,Business Rules,
Business Service Management (Bsm),Business Travel,
Thought Leadership,Capacity Modeling & Planning,
Logistics,Chargeback,
Verint,Competitive Intelligence,
Nike,Complex Event Processing (CEP),
Auto Insurance,CT Canada - Financial Services,
Gdpr,"CT Canada - Media, Tech, Telco",
Digital Playbook,CT Canada - Retail & Travel,
IT Operating Model,CT France - Financial Services,
Kyc,"CT France - Media, Tech, Telco",
Twitter,CT Germany - Financial Services,
Instant Messaging,"CT Germany - Media, Tech, Telco",
Liveramp,CT Germany - Retail & Travel,
Evolve Or Crumble: Prepare For The Fate Of The Hardware Incumbents,CT Global - Financial Services,
Fireeye,"CT Global - Media, Tech, Telco",
Julie A. Ask,CT Italy - Financial Services,
Hospitality,"CT Italy - Media, Tech, Telco",
Rebecca Mcadams,CT Italy - Retail & Travel,
Mobile Analytics,CT Spain - Financial Services,
Market Research,"CT Spain - Media, Tech, Telco",
Software,CT Spain - Retail & Travel,
Bobby Cameron,CT UK - Financial Services,
Mobile Advertising,"CT UK - Media, Tech, Telco",
Andre Kindness,CT UK - Retail & Travel,
